,natureza_acidente,bairro,tipo,condicao_via,dia_da_semana,mes,ano,hora_bruta
0,0,81,3,1,0,1,2018,0
1,1,31,9,1,0,1,2018,2
2,1,12,9,1,0,1,2018,3
3,1,9,9,1,0,1,2018,7
4,1,23,9,1,0,1,2018,7
5,1,92,9,1,0,1,2018,16
6,1,8,9,1,0,1,2018,18
7,1,48,9,1,0,1,2018,18
8,1,12,6,1,1,1,2018,1
9,1,78,9,1,1,1,2018,8
10,1,1,9,1,1,1,2018,9
11,1,24,9,1,1,1,2018,9
12,1,40,9,1,1,1,2018,9
13,1,23,9,1,1,1,2018,11
14,1,83,9,1,1,1,2018,13
15,1,12,9,1,1,1,2018,13
16,1,6,9,1,1,1,2018,15
17,0,9,9,1,1,1,2018,16
18,1,31,9,1,1,1,2018,16
19,0,8,6,1,1,1,2018,16
20,1,9,9,1,1,1,2018,16
21,0,6,9,1,1,1,2018,17
22,1,12,13,1,1,1,2018,17
23,1,25,9,1,1,1,2018,18
24,1,34,9,1,1,1,2018,19
25,1,23,9,1,1,1,2018,19
26,1,1,9,1,1,1,2018,19
27,1,12,9,1,1,1,2018,20
28,1,12,9,1,1,1,2018,21
29,1,51,9,1,1,1,2018,21
30,1,75,9,1,2,1,2018,0
31,1,51,6,1,2,1,2018,0
32,1,51,6,1,2,1,2018,6
33,1,7,9,1,2,1,2018,7
34,1,50,9,1,2,1,2018,7
35,0,34,9,1,2,1,2018,7
36,0,50,9,1,2,1,2018,7
37,0,12,9,1,2,1,2018,7
38,1,53,9,1,2,1,2018,8
39,1,8,9,1,2,1,2018,8
40,1,12,9,1,2,1,2018,9
41,0,45,9,1,2,1,2018,10
42,1,80,9,1,2,1,2018,10
43,1,49,9,1,2,1,2018,10
44,1,13,9,1,2,1,2018,11
45,0,49,9,1,2,1,2018,12
46,0,78,9,1,2,1,2018,12
47,1,12,9,1,2,1,2018,12
48,1,11,9,1,2,1,2018,14
49,1,37,9,1,2,1,2018,14
50,1,69,9,1,2,1,2018,14
51,1,12,9,1,2,1,2018,15
52,0,69,9,1,2,1,2018,15
53,1,12,9,1,2,1,2018,16
54,1,14,9,1,2,1,2018,16
55,1,25,9,1,2,1,2018,16
56,1,47,6,1,2,1,2018,16
57,1,31,9,1,2,1,2018,16
58,1,90,9,1,2,1,2018,18
59,1,11,9,1,2,1,2018,20
60,0,25,9,1,2,1,2018,20
61,1,73,9,1,2,1,2018,20
62,1,53,9,1,3,1,2018,3
63,0,85,9,1,3,1,2018,6
64,0,49,6,1,3,1,2018,7
65,1,78,9,1,3,1,2018,8
66,0,55,9,1,3,1,2018,8
67,1,81,9,1,3,1,2018,9
68,1,49,9,1,3,1,2018,9
69,1,78,9,1,3,1,2018,9
70,1,78,9,1,3,1,2018,9
71,1,12,9,1,3,1,2018,9
72,1,46,9,1,3,1,2018,9
73,1,73,9,1,3,1,2018,10
74,1,78,9,1,3,1,2018,10
75,1,23,9,1,3,1,2018,10
76,0,49,9,1,3,1,2018,11
77,1,35,9,1,3,1,2018,12
78,1,13,9,1,3,1,2018,14
79,1,12,9,1,3,1,2018,14
80,1,23,9,1,3,1,2018,15
81,1,90,9,1,3,1,2018,15
82,1,1,9,1,3,1,2018,15
83,1,78,9,1,3,1,2018,16
84,1,22,13,1,3,1,2018,16
85,1,78,9,1,3,1,2018,
86,1,1,9,1,3,1,2018,17
87,1,0,9,1,3,1,2018,17
88,1,75,9,1,3,1,2018,17
89,1,49,9,1,3,1,2018,18
90,0,69,9,1,3,1,2018,18
91,0,49,10,1,3,1,2018,18
92,1,12,9,1,3,1,2018,19
93,0,40,9,1,3,1,2018,19
94,0,66,6,1,3,1,2018,19
95,1,31,9,1,3,1,2018,21
96,1,22,9,1,4,1,2018,0
97,0,78,2,1,4,1,2018,7
98,1,1,9,1,4,1,2018,7
99,1,9,9,1,4,1,2018,8
100,1,81,9,1,4,1,2018,8
101,1,50,9,1,4,1,2018,8
102,1,69,9,1,4,1,2018,8
103,1,37,9,1,4,1,2018,8
104,0,78,2,1,4,1,2018,8
105,1,1,9,1,4,1,2018,8
106,1,12,9,1,4,1,2018,9
107,1,37,9,1,4,1,2018,9
108,1,7,9,1,4,1,2018,10
109,1,25,9,1,4,1,2018,10
110,1,31,9,1,4,1,2018,10
111,1,49,9,1,4,1,2018,11
112,1,12,9,1,4,1,2018,11
113,1,53,9,1,4,1,2018,11
114,1,12,9,1,4,1,2018,12
115,0,12,9,1,4,1,2018,12
116,1,58,9,1,4,1,2018,13
117,1,13,9,1,4,1,2018,13
118,1,42,9,1,4,1,2018,13
119,1,49,9,1,4,1,2018,13
120,1,49,9,1,4,1,2018,13
121,1,12,13,1,4,1,2018,14
122,1,74,9,1,4,1,2018,14
123,1,12,9,1,4,1,2018,14
124,1,49,9,1,4,1,2018,15
125,1,85,13,1,4,1,2018,15
126,1,23,6,1,4,1,2018,15
127,1,49,9,1,4,1,2018,16
128,1,78,9,1,4,1,2018,16
129,1,34,9,1,4,1,2018,16
130,0,19,9,1,4,1,2018,16
131,1,19,9,1,4,1,2018,17
132,1,85,9,1,4,1,2018,18
133,1,50,9,1,4,1,2018,18
134,1,12,9,1,4,1,2018,20
135,1,37,9,1,5,1,2018,7
136,1,88,9,1,5,1,2018,7
137,1,13,9,1,5,1,2018,7
138,1,34,9,1,5,1,2018,9
139,1,56,9,1,5,1,2018,9
140,1,12,9,1,5,1,2018,10
141,0,13,9,1,5,1,2018,11
142,1,1,9,1,5,1,2018,11
143,0,83,9,1,5,1,2018,12
144,0,19,9,1,5,1,2018,12
145,1,42,9,1,5,1,2018,12
146,1,1,9,1,5,1,2018,12
147,1,19,9,1,5,1,2018,13
148,1,24,9,1,5,1,2018,14
149,1,13,9,1,5,1,2018,15
150,1,50,9,1,5,1,2018,15
151,1,69,9,1,5,1,2018,16
152,1,23,9,1,5,1,2018,17
153,1,58,9,1,5,1,2018,17
154,0,55,9,1,5,1,2018,17
155,1,51,9,1,5,1,2018,17
156,1,24,9,1,5,1,2018,19
157,1,74,9,1,5,1,2018,19
158,1,78,9,1,5,1,2018,23
159,0,12,9,1,6,1,2018,9
160,0,23,9,1,6,1,2018,9
161,1,24,9,1,6,1,2018,9
162,0,49,9,1,6,1,2018,12
163,0,12,9,1,6,1,2018,14
164,1,88,9,1,6,1,2018,15
165,1,84,9,1,6,1,2018,17
166,1,9,9,1,6,1,2018,17
167,0,39,9,1,6,1,2018,18
168,1,58,9,1,6,1,2018,19
169,1,12,9,1,6,1,2018,19
170,0,6,9,1,6,1,2018,19
